Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Beep Buzzer,
"C1, C6",CP_Radial_D4.0mm_P1.50mm,2,10μF 16V,
"C10, C11, C12, C13, C14, C15, C16, C17, C3, C5, C7, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,13,0.1μF,
C2,CP_Radial_D6.3mm_P2.50mm,1,100μF 16V,
C4,C_Disc_D6.0mm_W2.5mm_P5.00mm,1,10μF 16V MLCC,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm,17,LED,
J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Jack-DC,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Power,
J3,PinHeader_1x04_P2.54mm_Vertical,1,ADDRESS,
J4,PinHeader_1x08_P2.54mm_Vertical,1,DATA,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R28, R29, R3, R30, R31, R32",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,24,1k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
"R27, R33, R5, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,100k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3.3k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,33k,
"R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100,
"SW1, SW2",SS12D00G3,2,SW_SPDT,
SW3,SS12D00G3,1,Beep Toggle,
SW4,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,1,DIP,
SW5,SW_PUSH-12mm_Wuerth-430476085716,1,Reset SW,
SW6,SW_PUSH-12mm_Wuerth-430476085716,1,Manual CLK,
U1,DIP-14_W7.62mm_Socket,1,74HC04,
"U10, U12",DIP-16_W7.62mm_Socket,2,74HC153,
U11,DIP-16_W7.62mm_Socket,1,74HC283,
"U2, U3, U4, U5",DIP-16_W7.62mm_Socket,4,74HC161,
U6,DIP-14_W7.62mm_Socket,1,74HC10,
U7,DIP-14_W7.62mm_Socket,1,74HC14,
U8,DIP-14_W7.62mm_Socket,1,74HC32,
U9,DIP-14_W7.62mm_Socket,1,74HC74,
